source,chunk_idx,section,type,context,question
01_1%202015%20TT%20Lien%20tich_QD%20danh%20gia%20QP-AN.pdf,7,ROOT,section,"Học sinh, sinh viên là người khuyết tật, có giấy xác nhận khuyết tật theo quy định của pháp luật về người khuyết tật;

Học sinh, sinh viên không đủ sức khoẻ về thể lực hoặc mắc những bệnh lý thuộc diện miễn làm nghĩa vụ quân sự theo quy định hiện hành;

Học sinh, sinh viên đã hoàn thành nghĩa vụ quân sự, công an nhân dân.

Đối tượng được tạm hoãn học môn học GDQP&AN:

Học sinh, sinh viên vì lý do sức khỏe phải dừng học trong thời gian dài để điều trị, phải có giấy xác nhận của bệnh viện nơi học sinh, sinh viên điều trị;

Học sinh, sinh viên là nữ đang mang thai hoặc trong thời gian nghỉ chế độ thai sản theo quy định hiện hành.

Giám đốc, hiệu trưởng các cơ sở giáo dục xem xét tạm hoãn học môn học GDQP&AN cho các đối tượng quy định tại điểm a, điểm b khoản 4 Điều này. Hết thời gian tạm hoãn, các cơ sở giáo dục bố trí cho học sinh, sinh viên vào học các lớp phù hợp để hoàn thành chương trình.

Giáo viên, giảng viên GDQP&AN bao gồm giáo viên, giảng viên có trình độ chuẩn theo quy định tại khoản 1 và khoản 2 Điều 6 Nghị định số 13/2014/N Đ -CP ngày 25 tháng 02 năm 2014 của Chính phủ quy định chi tiết và biện pháp thi hành Luật Giáo dục quốc phòng và an ninh.

Các cơ sở giáo dục xây dựng kế hoạch đào tạo, bồi dưỡng, cập nhật kiến thức quốc phòng và an ninh, phương pháp dạy học bảo đảm trình độ chuẩn phù hợp với yêu cầu giảng dạy ở từng trình độ đào tạo.

Các cơ sở giáo dục thực hiện quản lý đội ngũ giáo viên, giảng viên GDQP&AN như giáo viên, giảng viên môn học khác. Giảng viên GDQP&AN là sĩ quan quân đội biệt phái do cơ quan, đơn vị biệt phái sĩ quan và các trường quản lý theo quy định của Chính phủ về biệt phái sĩ quan quân đội, công an.

Các cơ sở giáo dục có trung tâm, khoa hoặc bộ môn GDQP&AN thực hiện nhiệm vụ GDQP&AN phải có phòng học chuyên dùng, thao trường tổng hợp; có đủ cơ sở vật chất, thiết bị dạy học GDQP&AN theo quy định hiện hành về danh mục thiết bị dạy học tối thiểu môn học GDQP&AN.

Quản lý, sử dụng và bảo quản vũ khí, trang thiết bị GDQP&AN thực hiện theo quy định hiện hành.

Các cơ sở giáo dục nghề nghiệp tổ chức dạy, học GDQP&AN theo kế hoạch đào tạo của cơ sở.","Ai được coi là học sinh, sinh viên?"
01_1%202015%20TT%20Lien%20tich_QD%20danh%20gia%20QP-AN.pdf,7,ROOT,section,"Học sinh, sinh viên là người khuyết tật, có giấy xác nhận khuyết tật theo quy định của pháp luật về người khuyết tật;

Học sinh, sinh viên không đủ sức khoẻ về thể lực hoặc mắc những bệnh lý thuộc diện miễn làm nghĩa vụ quân sự theo quy định hiện hành;

Học sinh, sinh viên đã hoàn thành nghĩa vụ quân sự, công an nhân dân.

Đối tượng được tạm hoãn học môn học GDQP&AN:

Học sinh, sinh viên vì lý do sức khỏe phải dừng học trong thời gian dài để điều trị, phải có giấy xác nhận của bệnh viện nơi học sinh, sinh viên điều trị;

Học sinh, sinh viên là nữ đang mang thai hoặc trong thời gian nghỉ chế độ thai sản theo quy định hiện hành.

Giám đốc, hiệu trưởng các cơ sở giáo dục xem xét tạm hoãn học môn học GDQP&AN cho các đối tượng quy định tại điểm a, điểm b khoản 4 Điều này. Hết thời gian tạm hoãn, các cơ sở giáo dục bố trí cho học sinh, sinh viên vào học các lớp phù hợp để hoàn thành chương trình.

Giáo viên, giảng viên GDQP&AN bao gồm giáo viên, giảng viên có trình độ chuẩn theo quy định tại khoản 1 và khoản 2 Điều 6 Nghị định số 13/2014/N Đ -CP ngày 25 tháng 02 năm 2014 của Chính phủ quy định chi tiết và biện pháp thi hành Luật Giáo dục quốc phòng và an ninh.

Các cơ sở giáo dục xây dựng kế hoạch đào tạo, bồi dưỡng, cập nhật kiến thức quốc phòng và an ninh, phương pháp dạy học bảo đảm trình độ chuẩn phù hợp với yêu cầu giảng dạy ở từng trình độ đào tạo.

Các cơ sở giáo dục thực hiện quản lý đội ngũ giáo viên, giảng viên GDQP&AN như giáo viên, giảng viên môn học khác. Giảng viên GDQP&AN là sĩ quan quân đội biệt phái do cơ quan, đơn vị biệt phái sĩ quan và các trường quản lý theo quy định của Chính phủ về biệt phái sĩ quan quân đội, công an.

Các cơ sở giáo dục có trung tâm, khoa hoặc bộ môn GDQP&AN thực hiện nhiệm vụ GDQP&AN phải có phòng học chuyên dùng, thao trường tổng hợp; có đủ cơ sở vật chất, thiết bị dạy học GDQP&AN theo quy định hiện hành về danh mục thiết bị dạy học tối thiểu môn học GDQP&AN.

Quản lý, sử dụng và bảo quản vũ khí, trang thiết bị GDQP&AN thực hiện theo quy định hiện hành.

Các cơ sở giáo dục nghề nghiệp tổ chức dạy, học GDQP&AN theo kế hoạch đào tạo của cơ sở.","Học sinh, sinh viên nào được tạm hoãn học môn học GDQP&AN vì lý do sức khỏe?"
01_1%202015%20TT%20Lien%20tich_QD%20danh%20gia%20QP-AN.pdf,7,ROOT,section,"Học sinh, sinh viên là người khuyết tật, có giấy xác nhận khuyết tật theo quy định của pháp luật về người khuyết tật;

Học sinh, sinh viên không đủ sức khoẻ về thể lực hoặc mắc những bệnh lý thuộc diện miễn làm nghĩa vụ quân sự theo quy định hiện hành;

Học sinh, sinh viên đã hoàn thành nghĩa vụ quân sự, công an nhân dân.

Đối tượng được tạm hoãn học môn học GDQP&AN:

Học sinh, sinh viên vì lý do sức khỏe phải dừng học trong thời gian dài để điều trị, phải có giấy xác nhận của bệnh viện nơi học sinh, sinh viên điều trị;

Học sinh, sinh viên là nữ đang mang thai hoặc trong thời gian nghỉ chế độ thai sản theo quy định hiện hành.

Giám đốc, hiệu trưởng các cơ sở giáo dục xem xét tạm hoãn học môn học GDQP&AN cho các đối tượng quy định tại điểm a, điểm b khoản 4 Điều này. Hết thời gian tạm hoãn, các cơ sở giáo dục bố trí cho học sinh, sinh viên vào học các lớp phù hợp để hoàn thành chương trình.

Giáo viên, giảng viên GDQP&AN bao gồm giáo viên, giảng viên có trình độ chuẩn theo quy định tại khoản 1 và khoản 2 Điều 6 Nghị định số 13/2014/N Đ -CP ngày 25 tháng 02 năm 2014 của Chính phủ quy định chi tiết và biện pháp thi hành Luật Giáo dục quốc phòng và an ninh.

Các cơ sở giáo dục xây dựng kế hoạch đào tạo, bồi dưỡng, cập nhật kiến thức quốc phòng và an ninh, phương pháp dạy học bảo đảm trình độ chuẩn phù hợp với yêu cầu giảng dạy ở từng trình độ đào tạo.

Các cơ sở giáo dục thực hiện quản lý đội ngũ giáo viên, giảng viên GDQP&AN như giáo viên, giảng viên môn học khác. Giảng viên GDQP&AN là sĩ quan quân đội biệt phái do cơ quan, đơn vị biệt phái sĩ quan và các trường quản lý theo quy định của Chính phủ về biệt phái sĩ quan quân đội, công an.

Các cơ sở giáo dục có trung tâm, khoa hoặc bộ môn GDQP&AN thực hiện nhiệm vụ GDQP&AN phải có phòng học chuyên dùng, thao trường tổng hợp; có đủ cơ sở vật chất, thiết bị dạy học GDQP&AN theo quy định hiện hành về danh mục thiết bị dạy học tối thiểu môn học GDQP&AN.

Quản lý, sử dụng và bảo quản vũ khí, trang thiết bị GDQP&AN thực hiện theo quy định hiện hành.

Các cơ sở giáo dục nghề nghiệp tổ chức dạy, học GDQP&AN theo kế hoạch đào tạo của cơ sở.","Giáo viên, giảng viên GDQP&AN bao gồm những người nào?"
01_1%202015%20TT%20Lien%20tich_QD%20danh%20gia%20QP-AN.pdf,7,ROOT,section,"Học sinh, sinh viên là người khuyết tật, có giấy xác nhận khuyết tật theo quy định của pháp luật về người khuyết tật;

Học sinh, sinh viên không đủ sức khoẻ về thể lực hoặc mắc những bệnh lý thuộc diện miễn làm nghĩa vụ quân sự theo quy định hiện hành;

Học sinh, sinh viên đã hoàn thành nghĩa vụ quân sự, công an nhân dân.

Đối tượng được tạm hoãn học môn học GDQP&AN:

Học sinh, sinh viên vì lý do sức khỏe phải dừng học trong thời gian dài để điều trị, phải có giấy xác nhận của bệnh viện nơi học sinh, sinh viên điều trị;

Học sinh, sinh viên là nữ đang mang thai hoặc trong thời gian nghỉ chế độ thai sản theo quy định hiện hành.

Giám đốc, hiệu trưởng các cơ sở giáo dục xem xét tạm hoãn học môn học GDQP&AN cho các đối tượng quy định tại điểm a, điểm b khoản 4 Điều này. Hết thời gian tạm hoãn, các cơ sở giáo dục bố trí cho học sinh, sinh viên vào học các lớp phù hợp để hoàn thành chương trình.

Giáo viên, giảng viên GDQP&AN bao gồm giáo viên, giảng viên có trình độ chuẩn theo quy định tại khoản 1 và khoản 2 Điều 6 Nghị định số 13/2014/N Đ -CP ngày 25 tháng 02 năm 2014 của Chính phủ quy định chi tiết và biện pháp thi hành Luật Giáo dục quốc phòng và an ninh.

Các cơ sở giáo dục xây dựng kế hoạch đào tạo, bồi dưỡng, cập nhật kiến thức quốc phòng và an ninh, phương pháp dạy học bảo đảm trình độ chuẩn phù hợp với yêu cầu giảng dạy ở từng trình độ đào tạo.

Các cơ sở giáo dục thực hiện quản lý đội ngũ giáo viên, giảng viên GDQP&AN như giáo viên, giảng viên môn học khác. Giảng viên GDQP&AN là sĩ quan quân đội biệt phái do cơ quan, đơn vị biệt phái sĩ quan và các trường quản lý theo quy định của Chính phủ về biệt phái sĩ quan quân đội, công an.

Các cơ sở giáo dục có trung tâm, khoa hoặc bộ môn GDQP&AN thực hiện nhiệm vụ GDQP&AN phải có phòng học chuyên dùng, thao trường tổng hợp; có đủ cơ sở vật chất, thiết bị dạy học GDQP&AN theo quy định hiện hành về danh mục thiết bị dạy học tối thiểu môn học GDQP&AN.

Quản lý, sử dụng và bảo quản vũ khí, trang thiết bị GDQP&AN thực hiện theo quy định hiện hành.

Các cơ sở giáo dục nghề nghiệp tổ chức dạy, học GDQP&AN theo kế hoạch đào tạo của cơ sở.","Các cơ sở giáo dục cần xây dựng kế hoạch đào tạo, bồi dưỡng, cập nhật kiến thức quốc phòng và an ninh như thế nào?"
01_1%202015%20TT%20Lien%20tich_QD%20danh%20gia%20QP-AN.pdf,7,ROOT,section,"Học sinh, sinh viên là người khuyết tật, có giấy xác nhận khuyết tật theo quy định của pháp luật về người khuyết tật;

Học sinh, sinh viên không đủ sức khoẻ về thể lực hoặc mắc những bệnh lý thuộc diện miễn làm nghĩa vụ quân sự theo quy định hiện hành;

Học sinh, sinh viên đã hoàn thành nghĩa vụ quân sự, công an nhân dân.

Đối tượng được tạm hoãn học môn học GDQP&AN:

Học sinh, sinh viên vì lý do sức khỏe phải dừng học trong thời gian dài để điều trị, phải có giấy xác nhận của bệnh viện nơi học sinh, sinh viên điều trị;

Học sinh, sinh viên là nữ đang mang thai hoặc trong thời gian nghỉ chế độ thai sản theo quy định hiện hành.

Giám đốc, hiệu trưởng các cơ sở giáo dục xem xét tạm hoãn học môn học GDQP&AN cho các đối tượng quy định tại điểm a, điểm b khoản 4 Điều này. Hết thời gian tạm hoãn, các cơ sở giáo dục bố trí cho học sinh, sinh viên vào học các lớp phù hợp để hoàn thành chương trình.

Giáo viên, giảng viên GDQP&AN bao gồm giáo viên, giảng viên có trình độ chuẩn theo quy định tại khoản 1 và khoản 2 Điều 6 Nghị định số 13/2014/N Đ -CP ngày 25 tháng 02 năm 2014 của Chính phủ quy định chi tiết và biện pháp thi hành Luật Giáo dục quốc phòng và an ninh.

Các cơ sở giáo dục xây dựng kế hoạch đào tạo, bồi dưỡng, cập nhật kiến thức quốc phòng và an ninh, phương pháp dạy học bảo đảm trình độ chuẩn phù hợp với yêu cầu giảng dạy ở từng trình độ đào tạo.

Các cơ sở giáo dục thực hiện quản lý đội ngũ giáo viên, giảng viên GDQP&AN như giáo viên, giảng viên môn học khác. Giảng viên GDQP&AN là sĩ quan quân đội biệt phái do cơ quan, đơn vị biệt phái sĩ quan và các trường quản lý theo quy định của Chính phủ về biệt phái sĩ quan quân đội, công an.

Các cơ sở giáo dục có trung tâm, khoa hoặc bộ môn GDQP&AN thực hiện nhiệm vụ GDQP&AN phải có phòng học chuyên dùng, thao trường tổng hợp; có đủ cơ sở vật chất, thiết bị dạy học GDQP&AN theo quy định hiện hành về danh mục thiết bị dạy học tối thiểu môn học GDQP&AN.

Quản lý, sử dụng và bảo quản vũ khí, trang thiết bị GDQP&AN thực hiện theo quy định hiện hành.

Các cơ sở giáo dục nghề nghiệp tổ chức dạy, học GDQP&AN theo kế hoạch đào tạo của cơ sở.","Giảng viên GDQP&AN là sĩ quan quân đội biệt phái do cơ quan, đơn vị biệt phái sĩ quan và các trường quản lý theo quy định của Chính phủ về biệt phái sĩ quan quân đội, công an?"
01_1%202015%20TT%20Lien%20tich_QD%20danh%20gia%20QP-AN.pdf,7,ROOT,section,"Học sinh, sinh viên là người khuyết tật, có giấy xác nhận khuyết tật theo quy định của pháp luật về người khuyết tật;

Học sinh, sinh viên không đủ sức khoẻ về thể lực hoặc mắc những bệnh lý thuộc diện miễn làm nghĩa vụ quân sự theo quy định hiện hành;

Học sinh, sinh viên đã hoàn thành nghĩa vụ quân sự, công an nhân dân.

Đối tượng được tạm hoãn học môn học GDQP&AN:

Học sinh, sinh viên vì lý do sức khỏe phải dừng học trong thời gian dài để điều trị, phải có giấy xác nhận của bệnh viện nơi học sinh, sinh viên điều trị;

Học sinh, sinh viên là nữ đang mang thai hoặc trong thời gian nghỉ chế độ thai sản theo quy định hiện hành.

Giám đốc, hiệu trưởng các cơ sở giáo dục xem xét tạm hoãn học môn học GDQP&AN cho các đối tượng quy định tại điểm a, điểm b khoản 4 Điều này. Hết thời gian tạm hoãn, các cơ sở giáo dục bố trí cho học sinh, sinh viên vào học các lớp phù hợp để hoàn thành chương trình.

Giáo viên, giảng viên GDQP&AN bao gồm giáo viên, giảng viên có trình độ chuẩn theo quy định tại khoản 1 và khoản 2 Điều 6 Nghị định số 13/2014/N Đ -CP ngày 25 tháng 02 năm 2014 của Chính phủ quy định chi tiết và biện pháp thi hành Luật Giáo dục quốc phòng và an ninh.

Các cơ sở giáo dục xây dựng kế hoạch đào tạo, bồi dưỡng, cập nhật kiến thức quốc phòng và an ninh, phương pháp dạy học bảo đảm trình độ chuẩn phù hợp với yêu cầu giảng dạy ở từng trình độ đào tạo.

Các cơ sở giáo dục thực hiện quản lý đội ngũ giáo viên, giảng viên GDQP&AN như giáo viên, giảng viên môn học khác. Giảng viên GDQP&AN là sĩ quan quân đội biệt phái do cơ quan, đơn vị biệt phái sĩ quan và các trường quản lý theo quy định của Chính phủ về biệt phái sĩ quan quân đội, công an.

Các cơ sở giáo dục có trung tâm, khoa hoặc bộ môn GDQP&AN thực hiện nhiệm vụ GDQP&AN phải có phòng học chuyên dùng, thao trường tổng hợp; có đủ cơ sở vật chất, thiết bị dạy học GDQP&AN theo quy định hiện hành về danh mục thiết bị dạy học tối thiểu môn học GDQP&AN.

Quản lý, sử dụng và bảo quản vũ khí, trang thiết bị GDQP&AN thực hiện theo quy định hiện hành.

Các cơ sở giáo dục nghề nghiệp tổ chức dạy, học GDQP&AN theo kế hoạch đào tạo của cơ sở.","Các cơ sở giáo dục có trung tâm, khoa hoặc bộ môn GDQP&AN cần có những điều kiện gì?"
01_1%202015%20TT%20Lien%20tich_QD%20danh%20gia%20QP-AN.pdf,7,ROOT,section,"Học sinh, sinh viên là người khuyết tật, có giấy xác nhận khuyết tật theo quy định của pháp luật về người khuyết tật;

Học sinh, sinh viên không đủ sức khoẻ về thể lực hoặc mắc những bệnh lý thuộc diện miễn làm nghĩa vụ quân sự theo quy định hiện hành;

Học sinh, sinh viên đã hoàn thành nghĩa vụ quân sự, công an nhân dân.

Đối tượng được tạm hoãn học môn học GDQP&AN:

Học sinh, sinh viên vì lý do sức khỏe phải dừng học trong thời gian dài để điều trị, phải có giấy xác nhận của bệnh viện nơi học sinh, sinh viên điều trị;

Học sinh, sinh viên là nữ đang mang thai hoặc trong thời gian nghỉ chế độ thai sản theo quy định hiện hành.

Giám đốc, hiệu trưởng các cơ sở giáo dục xem xét tạm hoãn học môn học GDQP&AN cho các đối tượng quy định tại điểm a, điểm b khoản 4 Điều này. Hết thời gian tạm hoãn, các cơ sở giáo dục bố trí cho học sinh, sinh viên vào học các lớp phù hợp để hoàn thành chương trình.

Giáo viên, giảng viên GDQP&AN bao gồm giáo viên, giảng viên có trình độ chuẩn theo quy định tại khoản 1 và khoản 2 Điều 6 Nghị định số 13/2014/N Đ -CP ngày 25 tháng 02 năm 2014 của Chính phủ quy định chi tiết và biện pháp thi hành Luật Giáo dục quốc phòng và an ninh.

Các cơ sở giáo dục xây dựng kế hoạch đào tạo, bồi dưỡng, cập nhật kiến thức quốc phòng và an ninh, phương pháp dạy học bảo đảm trình độ chuẩn phù hợp với yêu cầu giảng dạy ở từng trình độ đào tạo.

Các cơ sở giáo dục thực hiện quản lý đội ngũ giáo viên, giảng viên GDQP&AN như giáo viên, giảng viên môn học khác. Giảng viên GDQP&AN là sĩ quan quân đội biệt phái do cơ quan, đơn vị biệt phái sĩ quan và các trường quản lý theo quy định của Chính phủ về biệt phái sĩ quan quân đội, công an.

Các cơ sở giáo dục có trung tâm, khoa hoặc bộ môn GDQP&AN thực hiện nhiệm vụ GDQP&AN phải có phòng học chuyên dùng, thao trường tổng hợp; có đủ cơ sở vật chất, thiết bị dạy học GDQP&AN theo quy định hiện hành về danh mục thiết bị dạy học tối thiểu môn học GDQP&AN.

Quản lý, sử dụng và bảo quản vũ khí, trang thiết bị GDQP&AN thực hiện theo quy định hiện hành.

Các cơ sở giáo dục nghề nghiệp tổ chức dạy, học GDQP&AN theo kế hoạch đào tạo của cơ sở.","Quản lý, sử dụng và bảo quản vũ khí, trang thiết bị GDQP&AN được thực hiện theo quy định nào?"
01_1%202015%20TT%20Lien%20tich_QD%20danh%20gia%20QP-AN.pdf,7,ROOT,section,"Học sinh, sinh viên là người khuyết tật, có giấy xác nhận khuyết tật theo quy định của pháp luật về người khuyết tật;

Học sinh, sinh viên không đủ sức khoẻ về thể lực hoặc mắc những bệnh lý thuộc diện miễn làm nghĩa vụ quân sự theo quy định hiện hành;

Học sinh, sinh viên đã hoàn thành nghĩa vụ quân sự, công an nhân dân.

Đối tượng được tạm hoãn học môn học GDQP&AN:

Học sinh, sinh viên vì lý do sức khỏe phải dừng học trong thời gian dài để điều trị, phải có giấy xác nhận của bệnh viện nơi học sinh, sinh viên điều trị;

Học sinh, sinh viên là nữ đang mang thai hoặc trong thời gian nghỉ chế độ thai sản theo quy định hiện hành.

Giám đốc, hiệu trưởng các cơ sở giáo dục xem xét tạm hoãn học môn học GDQP&AN cho các đối tượng quy định tại điểm a, điểm b khoản 4 Điều này. Hết thời gian tạm hoãn, các cơ sở giáo dục bố trí cho học sinh, sinh viên vào học các lớp phù hợp để hoàn thành chương trình.

Giáo viên, giảng viên GDQP&AN bao gồm giáo viên, giảng viên có trình độ chuẩn theo quy định tại khoản 1 và khoản 2 Điều 6 Nghị định số 13/2014/N Đ -CP ngày 25 tháng 02 năm 2014 của Chính phủ quy định chi tiết và biện pháp thi hành Luật Giáo dục quốc phòng và an ninh.

Các cơ sở giáo dục xây dựng kế hoạch đào tạo, bồi dưỡng, cập nhật kiến thức quốc phòng và an ninh, phương pháp dạy học bảo đảm trình độ chuẩn phù hợp với yêu cầu giảng dạy ở từng trình độ đào tạo.

Các cơ sở giáo dục thực hiện quản lý đội ngũ giáo viên, giảng viên GDQP&AN như giáo viên, giảng viên môn học khác. Giảng viên GDQP&AN là sĩ quan quân đội biệt phái do cơ quan, đơn vị biệt phái sĩ quan và các trường quản lý theo quy định của Chính phủ về biệt phái sĩ quan quân đội, công an.

Các cơ sở giáo dục có trung tâm, khoa hoặc bộ môn GDQP&AN thực hiện nhiệm vụ GDQP&AN phải có phòng học chuyên dùng, thao trường tổng hợp; có đủ cơ sở vật chất, thiết bị dạy học GDQP&AN theo quy định hiện hành về danh mục thiết bị dạy học tối thiểu môn học GDQP&AN.

Quản lý, sử dụng và bảo quản vũ khí, trang thiết bị GDQP&AN thực hiện theo quy định hiện hành.

Các cơ sở giáo dục nghề nghiệp tổ chức dạy, học GDQP&AN theo kế hoạch đào tạo của cơ sở.","Học sinh, sinh viên nữ đang mang thai hoặc trong thời gian nghỉ chế độ thai sản được tạm hoãn học môn học GDQP&AN hay không?"
01_3%20HD%20hoc%20chuyen%20tiep%20ky%20su%20180%20TC_Final.pdf,0,ROOT,section,"Áp dụng với sinh viên các khóa từ K62 đang học tập và có mong muốn tiếp tục học tập theo chương trình đạo tạo kỹ sư chuyên sâu đặc thù.

Áp dụng với các chương trình đào tạo (viết tắt là: CTĐT) có đào tạo bậc kỹ sư chuyên sâu đặc thù (viết tắt là: KS).

Với các sinh viên chưa tốt nghiệp bậc cử nhân

Sinh viên đã tích lũy từ 118 tín chỉ trở lên của chương trình đào tạo cử nhân sẽ được phép học tích lũy trước tối đa 15 tín chỉ của CTĐT KS. Trường hợp sinh viên tích lũy trước nhiều hơn 15 tín chỉ thì cũng chỉ được công nhận tối đa 15 tín chỉ học trước.

Các học phần đã học tích lũy trước sẽ không được tính vào CTĐT cho tới khi sinh viên được công nhận tốt nghiệp bậc cử nhân và đồng thời đã đăng ký học tiếp CTĐT KS.

Sinh viên đã tốt nghiệp cử nhân được đăng ký xét tuyển để học CTĐT KS. Việc xét tuyển với các trường hợp này sẽ thực hiện theo quy định và hướng dẫn riêng.

Sinh viên các chương trình Elitech có thể học chuyển tiếp lên CTĐT KS chuẩn.

Sinh viên được phép học theo hướng chuyên ngành KS phù hợp với định hướng ở bậc cử nhân. Trong trường hợp sinh viên chọn hướng chuyên ngành KS khác với định hướng ở bậc cử nhân sẽ cần phải học bổ sung các học phần theo quy định.

Khi đủ điều kiện tốt nghiệp CTĐT cử nhân (sinh viên cần hoàn thành cả học phần Thực tập kỹ thuật 2 tín chỉ và Đồ án tốt nghiệp cử nhân 6 tín chỉ), sinh viên cần đăng ký tốt nghiệp và đồng thời đăng ký học chuyển tiếp lên CTĐT KS.

Sinh viên đã được công nhận tốt nghiệp bậc cử nhân nhưng chưa đăng ký học chuyển tiếp lên CTĐT KS sẽ không được phép đăng ký học tập ở kỳ kế tiếp.

Các sinh viên được công nhận tốt nghiệp CTĐT cử nhân sẽ được cấp bằng tốt nghiệp cử nhân theo quy định và đồng thời được chính thức chuyển sang học CTĐT KS 180 TC. Khi đó các học phần đã tích lũy trước sẽ được xét công nhận thuộc CTĐT KS của sinh viên.

Điểm của các học phần bậc kỹ sư chuyên sâu đặc thù sẽ không được sử dụng để xét cấp học bổng khuyến khích học tập ở bậc cử nhân.",Sinh viên nào có thể đăng ký học chương trình đào tạo kỹ sư chuyên sâu đặc thù?
01_3%20HD%20hoc%20chuyen%20tiep%20ky%20su%20180%20TC_Final.pdf,0,ROOT,section,"Áp dụng với sinh viên các khóa từ K62 đang học tập và có mong muốn tiếp tục học tập theo chương trình đạo tạo kỹ sư chuyên sâu đặc thù.

Áp dụng với các chương trình đào tạo (viết tắt là: CTĐT) có đào tạo bậc kỹ sư chuyên sâu đặc thù (viết tắt là: KS).

Với các sinh viên chưa tốt nghiệp bậc cử nhân

Sinh viên đã tích lũy từ 118 tín chỉ trở lên của chương trình đào tạo cử nhân sẽ được phép học tích lũy trước tối đa 15 tín chỉ của CTĐT KS. Trường hợp sinh viên tích lũy trước nhiều hơn 15 tín chỉ thì cũng chỉ được công nhận tối đa 15 tín chỉ học trước.

Các học phần đã học tích lũy trước sẽ không được tính vào CTĐT cho tới khi sinh viên được công nhận tốt nghiệp bậc cử nhân và đồng thời đã đăng ký học tiếp CTĐT KS.

Sinh viên đã tốt nghiệp cử nhân được đăng ký xét tuyển để học CTĐT KS. Việc xét tuyển với các trường hợp này sẽ thực hiện theo quy định và hướng dẫn riêng.

Sinh viên các chương trình Elitech có thể học chuyển tiếp lên CTĐT KS chuẩn.

Sinh viên được phép học theo hướng chuyên ngành KS phù hợp với định hướng ở bậc cử nhân. Trong trường hợp sinh viên chọn hướng chuyên ngành KS khác với định hướng ở bậc cử nhân sẽ cần phải học bổ sung các học phần theo quy định.

Khi đủ điều kiện tốt nghiệp CTĐT cử nhân (sinh viên cần hoàn thành cả học phần Thực tập kỹ thuật 2 tín chỉ và Đồ án tốt nghiệp cử nhân 6 tín chỉ), sinh viên cần đăng ký tốt nghiệp và đồng thời đăng ký học chuyển tiếp lên CTĐT KS.

Sinh viên đã được công nhận tốt nghiệp bậc cử nhân nhưng chưa đăng ký học chuyển tiếp lên CTĐT KS sẽ không được phép đăng ký học tập ở kỳ kế tiếp.

Các sinh viên được công nhận tốt nghiệp CTĐT cử nhân sẽ được cấp bằng tốt nghiệp cử nhân theo quy định và đồng thời được chính thức chuyển sang học CTĐT KS 180 TC. Khi đó các học phần đã tích lũy trước sẽ được xét công nhận thuộc CTĐT KS của sinh viên.

Điểm của các học phần bậc kỹ sư chuyên sâu đặc thù sẽ không được sử dụng để xét cấp học bổng khuyến khích học tập ở bậc cử nhân.",Số tín chỉ tối đa mà sinh viên có thể học tích lũy trước khi đăng ký học chương trình đào tạo kỹ sư chuyên sâu đặc thù?
